,epoch,train loss,train accuracy,validate loss,validate accuracy
0,1,0.408111493756522,88.34,0.04258106581803197,92.47
1,2,0.2415887794491134,92.935,0.03567273786186235,93.8
2,3,0.20933831371525838,93.91833333333334,0.032054417518410344,94.46
3,4,0.1896306474262209,94.415,0.031050890097335013,94.53
4,5,0.17596930597446112,94.90833333333333,0.030045307551159153,94.71
5,6,0.16587243170769356,95.24,0.028398741992798123,95.1
6,7,0.1583134905417273,95.37166666666667,0.028263151314286295,95.41
7,8,0.15123002251772993,95.65,0.027682336694153865,95.21
8,9,0.14646313474305087,95.72333333333333,0.027448417178031478,95.19
9,10,0.14191167297632074,95.86666666666666,0.0264998372648654,95.4
10,11,0.13773641767087522,96.0,0.02760581307233309,95.3
11,12,0.13475849768365306,96.06166666666667,0.025914890392532527,95.44
12,13,0.13203569660499406,96.18833333333333,0.02619768781607339,95.44
13,14,0.12966056427618525,96.25166666666667,0.025846646870918342,95.6
14,15,0.12748364071006268,96.265,0.02570858829146398,95.67
15,16,0.126264289297513,96.35833333333333,0.025770965090363043,95.57
16,17,0.12427481465430847,96.39666666666666,0.025626218895852836,95.65
17,18,0.1227494979362641,96.43333333333334,0.025674003834671368,95.7
18,19,0.12183061991828179,96.54833333333333,0.02566920146025888,95.58
19,20,0.12037626111101526,96.53666666666666,0.025400772077172423,95.66
20,21,0.1193793014938961,96.58333333333333,0.025715071602346203,95.59
21,22,0.1185201662741522,96.59,0.025327180695436054,95.62
22,23,0.1177669105096174,96.64,0.025455860082116692,95.72
23,24,0.11719379975978754,96.64333333333333,0.02532211574092845,95.67
24,25,0.11660380435507817,96.66,0.02543959632785971,95.66
25,26,0.11603106544223993,96.71,0.025402608809239075,95.68
26,27,0.1154323561635337,96.68833333333333,0.025364484758114317,95.61
27,28,0.1152026094714684,96.72333333333333,0.02533245686059897,95.66
28,29,0.11455648159409669,96.74666666666667,0.025340820986356562,95.68
29,30,0.11418389035229966,96.73333333333333,0.025363140290966438,95.63
